Dataset,PSNR,CPL,CS,SSIM,MSE,WD,KL,SSS,TSI,Hist_cor,Hist_int,VAE_RE,VIF
Industry,0.47,-0.58,0.78,0.54,-0.23,-0.26,-0.07,-0.36,-0.42,0.16,0.18,0.02,0.7
Public,0.03,-0.28,0.01,0.11,0.04,-0.04,0.01,-0.1,-0.03,-0.17,0.01,-0.09,0.15
